repetition,passed,reward,phase,reason,elapsed_seconds,agent_elapsed_seconds,total_elapsed_seconds,model_turns,model_requests,tool_calls,input_tokens,output_tokens,cache_tokens,total_tokens,reasoning_effort,reasoning_parameter,reasoning_value,reasoning_capability_status,failure_stage,infrastructure_reason,opencode_version,image_digest,source_image_digest,matrix_model,matrix_agent,matrix_task
2,True,1.0,completed,model returned a final response,136.380868,136.380868,257.085728,14,14,21,199270,13616,189056,212886.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:1d8d642c14a0bac0151b38d80904a0f3f3e032d61b8249ce47ecc0ef760b9361,sha256:389b9c8247610c2c5be080b1ac00429007c2c69bf57f7f26c79f0f75ba2d5c74,deepseek-v4-flash-vision-exp,course-coding-agent,fix-git
3,True,1.0,completed,model returned a final response,65.370662,65.370662,119.007827,12,12,14,143662,6064,131200,149726.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:1d8d642c14a0bac0151b38d80904a0f3f3e032d61b8249ce47ecc0ef760b9361,sha256:389b9c8247610c2c5be080b1ac00429007c2c69bf57f7f26c79f0f75ba2d5c74,deepseek-v4-flash-vision-exp,course-coding-agent,fix-git
1,True,1.0,completed,model returned a final response,419.992354,419.992354,501.865368,30,30,32,575056,39080,466688,614136.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:fe54eef9197c5fa84a335d5a840415f647e29d4cf2df7b02625e7b55dfa5da40,sha256:eb7e209672bf6cef2785fafd9e13509b10626c327bcc2b37f5bf40ca83eaf3aa,deepseek-v4-flash-vision-exp,course-coding-agent,headless-terminal
2,True,1.0,completed,model returned a final response,515.055798,515.055798,608.791498,30,30,31,561405,52061,449664,613466.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:fe54eef9197c5fa84a335d5a840415f647e29d4cf2df7b02625e7b55dfa5da40,sha256:eb7e209672bf6cef2785fafd9e13509b10626c327bcc2b37f5bf40ca83eaf3aa,deepseek-v4-flash-vision-exp,course-coding-agent,headless-terminal
3,True,1.0,completed,model returned a final response,424.767892,424.767892,594.359708,30,30,31,574807,39235,408320,614042.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:fe54eef9197c5fa84a335d5a840415f647e29d4cf2df7b02625e7b55dfa5da40,sha256:eb7e209672bf6cef2785fafd9e13509b10626c327bcc2b37f5bf40ca83eaf3aa,deepseek-v4-flash-vision-exp,course-coding-agent,headless-terminal
1,True,1.0,completed,model returned a final response,155.215798,155.215798,215.465916,11,11,13,53600,4208,48128,57808.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:7d8105a668eeefd6bbe58cbff073d5a188b1d3ed4b47b05e75ee7351ba0d7b41,sha256:3399400800dcb207634daa42bc1b052e831e285cc9d221eea66c47bc0fc79791,deepseek-v4-flash-vision-exp,course-coding-agent,kv-store-grpc
2,True,1.0,completed,model returned a final response,289.590095,289.590095,414.060185,14,14,15,72401,3902,66944,76303.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:7d8105a668eeefd6bbe58cbff073d5a188b1d3ed4b47b05e75ee7351ba0d7b41,sha256:3399400800dcb207634daa42bc1b052e831e285cc9d221eea66c47bc0fc79791,deepseek-v4-flash-vision-exp,course-coding-agent,kv-store-grpc
3,True,1.0,completed,model returned a final response,393.2884,393.2884,510.004501,23,23,25,168670,7224,160896,175894.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:7d8105a668eeefd6bbe58cbff073d5a188b1d3ed4b47b05e75ee7351ba0d7b41,sha256:3399400800dcb207634daa42bc1b052e831e285cc9d221eea66c47bc0fc79791,deepseek-v4-flash-vision-exp,course-coding-agent,kv-store-grpc
1,True,1.0,completed,model returned a final response,456.389521,456.389521,1233.008069,30,30,29,525519,35702,404480,561221.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:215db1f9f42d77a325de5d8de932d7c7290dd7328a03bed39667e5663717f41b,sha256:0f1c3b7816d70cf5551573fd6aeef76893f2ae3000be2419997b6871b5d987ed,deepseek-v4-flash-vision-exp,course-coding-agent,polyglot-c-py
2,True,1.0,completed,model returned a final response,381.355107,381.355107,507.643867,30,30,29,605702,30333,572160,636035.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:215db1f9f42d77a325de5d8de932d7c7290dd7328a03bed39667e5663717f41b,sha256:0f1c3b7816d70cf5551573fd6aeef76893f2ae3000be2419997b6871b5d987ed,deepseek-v4-flash-vision-exp,course-coding-agent,polyglot-c-py
3,True,1.0,completed,model returned a final response,420.323576,420.323576,637.150755,30,30,33,578488,32543,512128,611031.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:215db1f9f42d77a325de5d8de932d7c7290dd7328a03bed39667e5663717f41b,sha256:0f1c3b7816d70cf5551573fd6aeef76893f2ae3000be2419997b6871b5d987ed,deepseek-v4-flash-vision-exp,course-coding-agent,polyglot-c-py
1,False,0.0,failed,runtime error: ContextOverflow,433.955074,433.955074,663.668422,15,15,22,276376,42661,224384,319037.0,high,reasoning_effort,,supported,failed,,1.18.25,sha256:61947c58343c360623832b131e47857a338f8719f674ff150c4bf9596be102fa,sha256:88c77df05432252dabdc09126840419e814c4a27059f63d69ab430ba6fbfaf47,deepseek-v4-flash-vision-exp,course-coding-agent,write-compressor
2,False,0.0,timeout,Agent execution timed out after 900.0 seconds,900.029897,900.029897,1733.195921,,,,,,,,,,,,,,1.18.25,sha256:61947c58343c360623832b131e47857a338f8719f674ff150c4bf9596be102fa,sha256:88c77df05432252dabdc09126840419e814c4a27059f63d69ab430ba6fbfaf47,deepseek-v4-flash-vision-exp,course-coding-agent,write-compressor
3,False,0.0,completed,model returned a final response,686.689222,686.689222,1341.268593,30,30,35,495909,66314,415232,562223.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:61947c58343c360623832b131e47857a338f8719f674ff150c4bf9596be102fa,sha256:88c77df05432252dabdc09126840419e814c4a27059f63d69ab430ba6fbfaf47,deepseek-v4-flash-vision-exp,course-coding-agent,write-compressor
1,False,0.0,completed,trial completed,460.246746,460.246746,507.655594,50,50,84,1491453,11234,1458048,1502687.0,,,,,,,1.18.25,sha256:fee429795cb390e673e80cf41343e141c7229c8610f7a7f7ec11c1e020709f93,sha256:3612a38fadb89a96f74a1a951fb0b0af734198fd160571eeaba6401593234594,deepseek-v4-flash-vision-exp,opencode-pinned,build-cython-ext
2,False,0.0,completed,trial completed,663.656896,663.656896,699.314491,79,79,102,2904544,14377,2855680,2918921.0,,,,,,,1.18.25,sha256:fee429795cb390e673e80cf41343e141c7229c8610f7a7f7ec11c1e020709f93,sha256:3612a38fadb89a96f74a1a951fb0b0af734198fd160571eeaba6401593234594,deepseek-v4-flash-vision-exp,opencode-pinned,build-cython-ext
3,True,1.0,completed,trial completed,796.003209,796.003209,817.944128,87,87,91,2999144,12738,2952832,3011882.0,,,,,,,1.18.25,sha256:fee429795cb390e673e80cf41343e141c7229c8610f7a7f7ec11c1e020709f93,sha256:3612a38fadb89a96f74a1a951fb0b0af734198fd160571eeaba6401593234594,deepseek-v4-flash-vision-exp,opencode-pinned,build-cython-ext
1,False,,timeout,Verifier execution timed out after 900.0 seconds,30.09342,30.09342,943.643504,3,3,2,22376,404,16640,22780.0,,,,,,,1.18.25,sha256:e546257912a15de95355ba81b0b8dfd5c553793597cf1c91722695ecaa847bb6,sha256:84c7fae6b256dcc56a350790e2a9715eefc7dad662a9d8e8a472363aa71ef18d,deepseek-v4-flash-vision-exp,opencode-pinned,cancel-async-tasks
2,False,0.0,completed,trial completed,31.612124,31.612124,436.188989,6,6,5,48559,1362,47232,49921.0,,,,,,,1.18.25,sha256:e546257912a15de95355ba81b0b8dfd5c553793597cf1c91722695ecaa847bb6,sha256:84c7fae6b256dcc56a350790e2a9715eefc7dad662a9d8e8a472363aa71ef18d,deepseek-v4-flash-vision-exp,opencode-pinned,cancel-async-tasks
3,True,1.0,completed,trial completed,23.41161,23.41161,232.694158,5,5,4,39834,1084,38528,40918.0,,,,,,,1.18.25,sha256:e546257912a15de95355ba81b0b8dfd5c553793597cf1c91722695ecaa847bb6,sha256:84c7fae6b256dcc56a350790e2a9715eefc7dad662a9d8e8a472363aa71ef18d,deepseek-v4-flash-vision-exp,opencode-pinned,cancel-async-tasks
1,True,1.0,completed,trial completed,45.943459,45.943459,65.351628,14,14,13,177731,1721,170112,179452.0,,,,,,,1.18.25,sha256:2b304f956edc47947f3f27996bbc4b2ad017c74dfe3a8c6b7b911ab163963316,sha256:cac325252991f823713b2d0441502972901dd782bd67f66c03d9b1e410dac5c0,deepseek-v4-flash-vision-exp,opencode-pinned,fix-code-vulnerability
2,True,1.0,completed,trial completed,60.069047,60.069047,81.210581,17,17,16,201954,1719,194944,203673.0,,,,,,,1.18.25,sha256:2b304f956edc47947f3f27996bbc4b2ad017c74dfe3a8c6b7b911ab163963316,sha256:cac325252991f823713b2d0441502972901dd782bd67f66c03d9b1e410dac5c0,deepseek-v4-flash-vision-exp,opencode-pinned,fix-code-vulnerability
3,True,1.0,completed,trial completed,285.864041,285.864041,311.694995,21,21,20,327209,1858,314368,329067.0,,,,,,,1.18.25,sha256:2b304f956edc47947f3f27996bbc4b2ad017c74dfe3a8c6b7b911ab163963316,sha256:cac325252991f823713b2d0441502972901dd782bd67f66c03d9b1e410dac5c0,deepseek-v4-flash-vision-exp,opencode-pinned,fix-code-vulnerability
1,True,1.0,completed,trial completed,32.507642,32.507642,273.636513,10,10,9,87348,729,84096,88077.0,,,,,,,1.18.25,sha256:1d8d642c14a0bac0151b38d80904a0f3f3e032d61b8249ce47ecc0ef760b9361,sha256:389b9c8247610c2c5be080b1ac00429007c2c69bf57f7f26c79f0f75ba2d5c74,deepseek-v4-flash-vision-exp,opencode-pinned,fix-git
2,False,,timeout,Verifier execution timed out after 900.0 seconds,43.215464,43.215464,956.930408,10,10,11,83931,994,75904,84925.0,,,,,,,1.18.25,sha256:1d8d642c14a0bac0151b38d80904a0f3f3e032d61b8249ce47ecc0ef760b9361,sha256:389b9c8247610c2c5be080b1ac00429007c2c69bf57f7f26c79f0f75ba2d5c74,deepseek-v4-flash-vision-exp,opencode-pinned,fix-git
3,True,1.0,completed,trial completed,25.736372,25.736372,177.891399,9,9,8,72753,817,70528,73570.0,,,,,,,1.18.25,sha256:1d8d642c14a0bac0151b38d80904a0f3f3e032d61b8249ce47ecc0ef760b9361,sha256:389b9c8247610c2c5be080b1ac00429007c2c69bf57f7f26c79f0f75ba2d5c74,deepseek-v4-flash-vision-exp,opencode-pinned,fix-git
1,True,1.0,completed,trial completed,177.554547,177.554547,314.210188,27,27,27,368871,5645,357760,374516.0,,,,,,,1.18.25,sha256:fe54eef9197c5fa84a335d5a840415f647e29d4cf2df7b02625e7b55dfa5da40,sha256:eb7e209672bf6cef2785fafd9e13509b10626c327bcc2b37f5bf40ca83eaf3aa,deepseek-v4-flash-vision-exp,opencode-pinned,headless-terminal
2,False,0.0,completed,trial completed,115.387577,115.387577,163.608855,14,14,14,144705,4667,139136,149372.0,,,,,,,1.18.25,sha256:fe54eef9197c5fa84a335d5a840415f647e29d4cf2df7b02625e7b55dfa5da40,sha256:eb7e209672bf6cef2785fafd9e13509b10626c327bcc2b37f5bf40ca83eaf3aa,deepseek-v4-flash-vision-exp,opencode-pinned,headless-terminal
3,False,0.0,completed,trial completed,214.632087,214.632087,646.724365,15,15,16,148100,3312,143488,151412.0,,,,,,,1.18.25,sha256:fe54eef9197c5fa84a335d5a840415f647e29d4cf2df7b02625e7b55dfa5da40,sha256:eb7e209672bf6cef2785fafd9e13509b10626c327bcc2b37f5bf40ca83eaf3aa,deepseek-v4-flash-vision-exp,opencode-pinned,headless-terminal
1,True,1.0,completed,trial completed,223.876329,223.876329,251.381191,16,16,15,178702,2403,172416,181105.0,,,,,,,1.18.25,sha256:7d8105a668eeefd6bbe58cbff073d5a188b1d3ed4b47b05e75ee7351ba0d7b41,sha256:3399400800dcb207634daa42bc1b052e831e285cc9d221eea66c47bc0fc79791,deepseek-v4-flash-vision-exp,opencode-pinned,kv-store-grpc
2,True,1.0,completed,trial completed,321.798453,321.798453,345.655478,24,24,23,244553,2863,239232,247416.0,,,,,,,1.18.25,sha256:7d8105a668eeefd6bbe58cbff073d5a188b1d3ed4b47b05e75ee7351ba0d7b41,sha256:3399400800dcb207634daa42bc1b052e831e285cc9d221eea66c47bc0fc79791,deepseek-v4-flash-vision-exp,opencode-pinned,kv-store-grpc
3,True,1.0,completed,trial completed,515.095983,515.095983,544.717666,23,23,22,262553,3203,256256,265756.0,,,,,,,1.18.25,sha256:7d8105a668eeefd6bbe58cbff073d5a188b1d3ed4b47b05e75ee7351ba0d7b41,sha256:3399400800dcb207634daa42bc1b052e831e285cc9d221eea66c47bc0fc79791,deepseek-v4-flash-vision-exp,opencode-pinned,kv-store-grpc
1,False,,timeout,Agent execution timed out after 900.0 seconds,900.027068,900.027068,1813.66847,16,16,16,159875,2818,147072,162693.0,,,,,,,1.18.25,sha256:215db1f9f42d77a325de5d8de932d7c7290dd7328a03bed39667e5663717f41b,sha256:0f1c3b7816d70cf5551573fd6aeef76893f2ae3000be2419997b6871b5d987ed,deepseek-v4-flash-vision-exp,opencode-pinned,polyglot-c-py
2,True,1.0,completed,trial completed,261.238552,261.238552,428.448805,14,14,13,122475,1904,119040,124379.0,,,,,,,1.18.25,sha256:215db1f9f42d77a325de5d8de932d7c7290dd7328a03bed39667e5663717f41b,sha256:0f1c3b7816d70cf5551573fd6aeef76893f2ae3000be2419997b6871b5d987ed,deepseek-v4-flash-vision-exp,opencode-pinned,polyglot-c-py
3,True,1.0,timeout,Agent execution timed out after 900.0 seconds,900.024636,900.024636,1019.342584,23,23,24,222635,3074,217600,225709.0,,,,,,,1.18.25,sha256:215db1f9f42d77a325de5d8de932d7c7290dd7328a03bed39667e5663717f41b,sha256:0f1c3b7816d70cf5551573fd6aeef76893f2ae3000be2419997b6871b5d987ed,deepseek-v4-flash-vision-exp,opencode-pinned,polyglot-c-py
1,False,0.0,timeout,Agent execution timed out after 900.0 seconds,900.040006,900.040006,1036.520047,6,6,8,51186,1670,48768,52856.0,,,,,,,1.18.25,sha256:61947c58343c360623832b131e47857a338f8719f674ff150c4bf9596be102fa,sha256:88c77df05432252dabdc09126840419e814c4a27059f63d69ab430ba6fbfaf47,deepseek-v4-flash-vision-exp,opencode-pinned,write-compressor
2,False,0.0,timeout,Agent execution timed out after 900.0 seconds,900.051318,900.051318,999.949132,13,13,15,141840,2585,134400,144425.0,,,,,,,1.18.25,sha256:61947c58343c360623832b131e47857a338f8719f674ff150c4bf9596be102fa,sha256:88c77df05432252dabdc09126840419e814c4a27059f63d69ab430ba6fbfaf47,deepseek-v4-flash-vision-exp,opencode-pinned,write-compressor
3,True,1.0,timeout,Agent execution timed out after 900.0 seconds,900.099864,900.099864,1573.646368,20,20,20,287476,7966,275712,295442.0,,,,,,,1.18.25,sha256:61947c58343c360623832b131e47857a338f8719f674ff150c4bf9596be102fa,sha256:88c77df05432252dabdc09126840419e814c4a27059f63d69ab430ba6fbfaf47,deepseek-v4-flash-vision-exp,opencode-pinned,write-compressor
1,False,0.0,completed,model returned a final response,860.017831,860.017831,880.893417,30,31,35,262079,4703,193792,266782.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:fee429795cb390e673e80cf41343e141c7229c8610f7a7f7ec11c1e020709f93,sha256:3612a38fadb89a96f74a1a951fb0b0af734198fd160571eeaba6401593234594,glm-5.3-flash,course-coding-agent,build-cython-ext
2,False,0.0,completed,model returned a final response,525.756739,525.756739,553.480989,30,31,39,449419,7594,378048,457013.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:fee429795cb390e673e80cf41343e141c7229c8610f7a7f7ec11c1e020709f93,sha256:3612a38fadb89a96f74a1a951fb0b0af734198fd160571eeaba6401593234594,glm-5.3-flash,course-coding-agent,build-cython-ext
3,True,1.0,completed,model returned a final response,569.510496,569.510496,590.649646,30,31,40,438250,7081,344128,445331.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:fee429795cb390e673e80cf41343e141c7229c8610f7a7f7ec11c1e020709f93,sha256:3612a38fadb89a96f74a1a951fb0b0af734198fd160571eeaba6401593234594,glm-5.3-flash,course-coding-agent,build-cython-ext
1,True,1.0,completed,model returned a final response,274.306247,274.306247,322.442494,12,12,12,77938,10535,55104,88473.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:e546257912a15de95355ba81b0b8dfd5c553793597cf1c91722695ecaa847bb6,sha256:84c7fae6b256dcc56a350790e2a9715eefc7dad662a9d8e8a472363aa71ef18d,glm-5.3-flash,course-coding-agent,cancel-async-tasks
2,False,0.0,completed,model returned a final response,296.558672,296.558672,347.679791,16,16,15,90363,6384,69696,96747.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:e546257912a15de95355ba81b0b8dfd5c553793597cf1c91722695ecaa847bb6,sha256:84c7fae6b256dcc56a350790e2a9715eefc7dad662a9d8e8a472363aa71ef18d,glm-5.3-flash,course-coding-agent,cancel-async-tasks
3,True,1.0,completed,model returned a final response,542.772711,542.772711,603.22066,21,21,20,211284,13583,165952,224867.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:e546257912a15de95355ba81b0b8dfd5c553793597cf1c91722695ecaa847bb6,sha256:84c7fae6b256dcc56a350790e2a9715eefc7dad662a9d8e8a472363aa71ef18d,glm-5.3-flash,course-coding-agent,cancel-async-tasks
1,True,1.0,completed,model returned a final response,133.797907,133.797907,150.693412,14,14,19,81607,3114,61824,84721.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:2b304f956edc47947f3f27996bbc4b2ad017c74dfe3a8c6b7b911ab163963316,sha256:cac325252991f823713b2d0441502972901dd782bd67f66c03d9b1e410dac5c0,glm-5.3-flash,course-coding-agent,fix-code-vulnerability
2,True,1.0,completed,model returned a final response,86.317469,86.317469,104.011287,8,8,12,25123,2018,14080,27141.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:2b304f956edc47947f3f27996bbc4b2ad017c74dfe3a8c6b7b911ab163963316,sha256:cac325252991f823713b2d0441502972901dd782bd67f66c03d9b1e410dac5c0,glm-5.3-flash,course-coding-agent,fix-code-vulnerability
3,True,1.0,completed,model returned a final response,114.946204,114.946204,132.07046,9,9,13,30660,1695,15936,32355.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:2b304f956edc47947f3f27996bbc4b2ad017c74dfe3a8c6b7b911ab163963316,sha256:cac325252991f823713b2d0441502972901dd782bd67f66c03d9b1e410dac5c0,glm-5.3-flash,course-coding-agent,fix-code-vulnerability
1,True,1.0,completed,model returned a final response,103.816061,103.816061,144.091129,11,11,11,59700,2042,31360,61742.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:1d8d642c14a0bac0151b38d80904a0f3f3e032d61b8249ce47ecc0ef760b9361,sha256:389b9c8247610c2c5be080b1ac00429007c2c69bf57f7f26c79f0f75ba2d5c74,glm-5.3-flash,course-coding-agent,fix-git
2,True,1.0,completed,model returned a final response,170.21338,170.21338,209.762054,11,11,14,56070,2083,35328,58153.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:1d8d642c14a0bac0151b38d80904a0f3f3e032d61b8249ce47ecc0ef760b9361,sha256:389b9c8247610c2c5be080b1ac00429007c2c69bf57f7f26c79f0f75ba2d5c74,glm-5.3-flash,course-coding-agent,fix-git
3,True,1.0,completed,model returned a final response,95.15742,95.15742,143.074279,12,12,13,63985,1524,45376,65509.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:1d8d642c14a0bac0151b38d80904a0f3f3e032d61b8249ce47ecc0ef760b9361,sha256:389b9c8247610c2c5be080b1ac00429007c2c69bf57f7f26c79f0f75ba2d5c74,glm-5.3-flash,course-coding-agent,fix-git
1,True,1.0,completed,model returned a final response,297.456124,297.456124,345.353607,10,10,11,51649,8567,25728,60216.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:fe54eef9197c5fa84a335d5a840415f647e29d4cf2df7b02625e7b55dfa5da40,sha256:eb7e209672bf6cef2785fafd9e13509b10626c327bcc2b37f5bf40ca83eaf3aa,glm-5.3-flash,course-coding-agent,headless-terminal
2,True,1.0,completed,model returned a final response,375.408032,375.408032,506.09416,10,10,10,50911,8569,30784,59480.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:fe54eef9197c5fa84a335d5a840415f647e29d4cf2df7b02625e7b55dfa5da40,sha256:eb7e209672bf6cef2785fafd9e13509b10626c327bcc2b37f5bf40ca83eaf3aa,glm-5.3-flash,course-coding-agent,headless-terminal
3,True,1.0,timeout,Agent execution timed out after 900.0 seconds,900.007722,900.007722,950.500373,,,,,,,,,,,,,,1.18.25,sha256:fe54eef9197c5fa84a335d5a840415f647e29d4cf2df7b02625e7b55dfa5da40,sha256:eb7e209672bf6cef2785fafd9e13509b10626c327bcc2b37f5bf40ca83eaf3aa,glm-5.3-flash,course-coding-agent,headless-terminal
1,True,1.0,completed,model returned a final response,130.781965,130.781965,154.739731,12,12,12,28929,1896,20160,30825.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:7d8105a668eeefd6bbe58cbff073d5a188b1d3ed4b47b05e75ee7351ba0d7b41,sha256:3399400800dcb207634daa42bc1b052e831e285cc9d221eea66c47bc0fc79791,glm-5.3-flash,course-coding-agent,kv-store-grpc
2,True,1.0,completed,model returned a final response,122.676601,122.676601,145.407478,11,11,10,25869,1488,11712,27357.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:7d8105a668eeefd6bbe58cbff073d5a188b1d3ed4b47b05e75ee7351ba0d7b41,sha256:3399400800dcb207634daa42bc1b052e831e285cc9d221eea66c47bc0fc79791,glm-5.3-flash,course-coding-agent,kv-store-grpc
3,True,1.0,completed,model returned a final response,158.441762,158.441762,190.750783,13,13,13,35527,1932,25728,37459.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:7d8105a668eeefd6bbe58cbff073d5a188b1d3ed4b47b05e75ee7351ba0d7b41,sha256:3399400800dcb207634daa42bc1b052e831e285cc9d221eea66c47bc0fc79791,glm-5.3-flash,course-coding-agent,kv-store-grpc
1,False,0.0,completed,model returned a final response,233.296955,233.296955,390.510031,15,15,17,65393,4515,40512,69908.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:215db1f9f42d77a325de5d8de932d7c7290dd7328a03bed39667e5663717f41b,sha256:0f1c3b7816d70cf5551573fd6aeef76893f2ae3000be2419997b6871b5d987ed,glm-5.3-flash,course-coding-agent,polyglot-c-py
2,True,1.0,completed,model returned a final response,271.167695,271.167695,320.870134,15,15,15,74060,6304,52544,80364.0,high,reasoning_effort,,supported,completed,,1.18.25,sha256:215db1f9f42d77a325de5d8de932d7c7290dd7328a03bed39667e5663717f41b,sha256:0f1c3b7816d70cf5551573fd6aeef76893f2ae3000be2419997b6871b5d987ed,glm-5.3-flash,course-coding-agent,polyglot-c-py
3,True,1.0,failed,runtime error: TransientModelError,536.30112,536.30112,592.102667,6,9,8,21567,3973,13376,25540.0,high,reasoning_effort,,supported,failed,,1.18.25,sha256:215db1f9f42d77a325de5d8de932d7c7290dd7328a03bed39667e5663717f41b,sha256:0f1c3b7816d70cf5551573fd6aeef76893f2ae3000be2419997b6871b5d987ed,glm-5.3-flash,course-coding-agent,polyglot-c-py
